,name,empty_slots,free_bikes,slots,latitude,longitude
326,12e avenue / St-Zotique,15,7,23,45.5568667309625,-73.589306473732
327,19e avenue / St-Zotique,18,3,23,45.56168275734862,-73.58564794063568
328,de Lisieux / Jean-Talon,11,6,19,45.57934937043077,-73.58168095350266
329,de Gaspé / Dante,21,1,23,45.53429782539273,-73.61217230558395
330,Davaar / de la Côte-Ste-Catherine,10,2,15,45.514379,-73.610871
331,Alton-Goldbloom / Notre-Dame,19,0,19,45.54502601340392,-73.73787671327591
332,Bloomfield / Van Horne,19,3,23,45.522745298216094,-73.61328139901161
333,Place des Festivals ( du Président-Kennedy / de Bleury),6,21,27,45.50764392965887,-73.56932401657104
334,de la Roche / Bélanger,15,6,23,45.541669595766315,-73.60760450363159
335,Campus MIL (Outremont / Thérèse-Lavoie Roux),16,5,23,45.52311432992147,-73.61815363168716
336,Le Corbusier / St-Martin O,14,5,19,45.565006717407506,-73.7319054454565
337,Place du Canada (Peel / des Canadiens-de-Montréal),24,2,26,45.49788352593901,-73.56856763362885
338,Dollard / Bernard,8,14,23,45.51678269880724,-73.61142262816429
