row_from_station,id,name,rating,review_count,latitude,longitude
442,mWLqPts4kWK7-yRtQqOTJQ,Parc Sir-Wilfrid-Laurier,4.5,18,45.532297,-73.587525
442,NT15inJeHP-ycQSWGNRWjw,Parc des Carrières,4.0,2,45.5334578936732,-73.5935547061858
442,cBoJ15PBegzOiL4obydb6g,Place des Fleurs-de-Macadam,5.0,1,45.52706,-73.57971
442,tr9Xcr4cAykHKzTxdNTIpA,Parc Père-Marquette,5.0,1,45.54137,-73.59563
442,EICY_FR2RjGwyYvgJXrAgQ,Parc Saint-Michel,4.0,1,45.5241349683404,-73.592903316021
442,1o-vKDmbro-rKphRsk_0fQ,Parc Alphonse Télesphore Lépine,4.0,1,45.52652,-73.59203
443,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
443,oeSBcrJ_2DkrLuPx3mKaWw,Parc Baldwin,5.0,2,45.5369098199692,-73.567233816121
445,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
445,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
445,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
445,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
445,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
445,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
445,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
446,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
446,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
447,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
447,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
447,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
447,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
